,namespace,Porcentagem de administradores que visualizaram relatórios de AD
0,saedigital,1.0
1,dommga,1.0
2,colegiodompedrosegundo,1.0
3,saberviver,1.0
4,colegiocb,1.0
5,equipe,1.0
6,jardimsaopaulo,1.0
7,beityaacov,1.0
8,colegioalphaunis,1.0
9,colegiosaberviver,1.0
10,colegiomodelo,1.0
11,francobrasileiro,0.75
12,eccos,0.6363636363636364
13,nucleopva,0.5
14,magister,0.5
15,rede,0.5
16,colegiomundial,0.4444444444444444
17,aescobjetivo,0.42105263157894735
18,materamabilis,0.3333333333333333
19,nucec,0.3333333333333333
20,souhabilis,0.3333333333333333
21,ismart,0.3333333333333333
22,spdacruz,0.3333333333333333
23,universitariolondrina,0.30612244897959184
24,institutoeurofarma,0.2857142857142857
25,santoamerico,0.2857142857142857
26,sas,0.25
27,ceabb,0.25
28,colegiobilac,0.2
29,litteratus,0.2
30,colegioplanck,0.1875
31,physicscidadenova,0.1875
32,meta,0.18181818181818182
33,invictus,0.16666666666666666
34,ceespacolivre,0.16666666666666666
35,colegioecursodesafio,0.16666666666666666
36,physicsalmirantebarroso,0.15555555555555556
37,physicsalcindocacela,0.15384615384615385
38,colegiobrasilia,0.14285714285714285
39,colegiosiglan,0.14285714285714285
40,colegioflamingo,0.14285714285714285
41,acessopinhais,0.13333333333333333
42,qescola,0.13
43,master,0.12903225806451613
44,colegioarena,0.125
45,colegioglobal,0.125
46,acessosantafelicidade,0.11764705882352941
47,physicsconselheirofurtado,0.11538461538461539
48,casdinhosjc,0.1111111111111111
49,physicsumarizal,0.1111111111111111
50,portinari,0.1111111111111111
51,acessoalmirantetamandare,0.10344827586206896
52,physicsbatistacampos,0.1
53,physicsmacapa,0.08695652173913043
54,contemporaneocidadeverde,0.08333333333333333
55,moppe,0.08333333333333333
56,mariliamattoso,0.08333333333333333
57,stellamarisjuveve,0.07894736842105263
58,colegioeducallis,0.07407407407407407
59,integra,0.07142857142857142
60,colegioguilhermedealmeida,0.07142857142857142
61,colegiojoaopaulo,0.06666666666666667
62,ceprimeiromundo,0.0625
63,acessoboqueirao,0.058823529411764705
64,colegiodasamericas,0.05555555555555555
65,poliedro,0.05
66,alpha,0.047619047619047616
67,colegiosete,0.045454545454545456
68,stellamarisaguaverde,0.045454545454545456
69,overjoaopessoa,0.043478260869565216
70,contemporaneolagoanova,0.038461538461538464
71,acessofazendariogrande,0.03333333333333333
72,acessocampolargo,0.03333333333333333
73,overabelcabral,0.03333333333333333
74,casdvest,0.02857142857142857
75,amadeus,0.02631578947368421
76,crb,0.020338983050847456
77,novotempo,0.017857142857142856
78,apogeu,0.010309278350515464
79,marciliopires,0.0
80,magma,0.0
81,marcelochumer,0.0
82,lumiere,0.0
83,marcelinasbotucatu,0.0
84,maplebearslz,0.0
85,madretereza,0.0
86,magno,0.0
87,maper,0.0
88,luminaedu,0.0
89,maanaim,0.0
90,manoelqueiroz,0.0
91,magna,0.0
92,manoelmarcelino,0.0
93,madresavina,0.0
94,macbrasiliaint,0.0
95,machadodeassispicos,0.0
96,mackenziebrasilia,0.0
97,mackenziesaopaulo,0.0
98,manoelpereira,0.0
99,magnumagostiniano,0.0
100,manoelbatista,0.0
101,mackenzietambore,0.0
102,manoelbernardino,0.0
103,manoelfrancisco,0.0
104,macvest,0.0
105,magnum,0.0
106,abb,0.0
107,lumen,0.0
108,kzdireitodigital,0.0
109,lavraguedes,0.0
110,lasallesp,0.0
111,lasalledores,0.0
112,lasalleaguasclaras,0.0
113,lapisnamao,0.0
114,lapiseartes,0.0
115,lamark,0.0
116,lagracia,0.0
117,laboratoriosromildo,0.0
118,labatualidades,0.0
119,kuadro,0.0
120,luizgonzaga,0.0
121,kl3,0.0
122,kiujo,0.0
123,kijuj,0.0
124,kidsbaby,0.0
125,khanacademy,0.0
126,kerygma,0.0
127,kepler,0.0
128,juntos,0.0
129,juarezwanderley,0.0
130,jpathias,0.0
131,lealecarvalho,0.0
132,leme,0.0
133,leonor,0.0
134,lepetitsp,0.0
135,lucasmadsen,0.0
136,lourencofilho,0.0
137,lourdinascg,0.0
138,losango,0.0
139,logicareforcoescolar,0.0
140,llesser,0.0
141,livreaprender,0.0
142,liviasoares,0.0
143,liviacarneiro,0.0
144,linkandlearn,0.0
145,lighthouse,0.0
146,liessinbarra,0.0
147,liessin,0.0
148,liderasas,0.0
149,mariaaugusta,0.0
150,lidera,0.0
151,liceusalesiano,0.0
152,liceujardim,0.0
153,liceufranco,0.0
154,libanobrasileiro,0.0
155,lerote,0.0
156,marcosfreitas,0.0
157,materdei,0.0
158,mariacarmo,0.0
159,necicem,0.0
160,novaalianca,0.0
161,nova,0.0
162,notredame,0.0
163,nossasenhoradesion,0.0
164,nilip,0.0
165,nihongogakkou,0.0
166,nextgestor,0.0
167,newtonpaiva,0.0
168,nesfa,0.0
169,nep,0.0
170,navegasas,0.0
171,novaepoca,0.0
172,naia,0.0
173,nageljewishacademy,0.0
174,mutiraodesaomarcos,0.0
175,murilorocha,0.0
176,mupi,0.0
177,mundoencantado,0.0
178,mundodeplatao,0.0
179,mundialfranciscobeltrao,0.0
180,mundialcc,0.0
181,msofia,0.0
182,novadimensao,0.0
183,novavisao,0.0
184,mariaeunice,0.0
185,nuvemvoadora,0.0
186,objetivoteresina,0.0
187,objetivosorocaba,0.0
188,objetivosjc,0.0
189,objetivoportal,0.0
190,objetivolorena,0.0
191,objetivohortolandia,0.0
192,objetivogurupi,0.0
193,objetivoguaxupe,0.0
194,objetivocentro,0.0
195,objetivoamericana,0.0
196,nucleocriativo,0.0
197,novoemlasalle,0.0
198,nucleo,0.0
199,nsressureicao,0.0
200,nsgloria,0.0
201,nsfatima,0.0
