,namespace,Porcentagem de engajamento em série de exercícios,Número de exercícios por turma,Média de séries de exercícios por turma,Porcentagem de visualização de relatórios de SE por alunos,Porcentagem de visualização de relatórios de AA,Número de AAs iniciadas por aluno
0,colegioprogresso,1.0,0.0,0.0,0.0,0.0,0.0
1,colegioexatus,1.0,0.0,0.0,0.0045454545454545,0.0,0.0
2,colegiosantamaria,0.8823529411764706,0.0,0.0,0.004524886877828,0.025,1.0
3,sasadapt,0.8402777777777778,3.75,1.25,0.1724137931034483,0.0208333333333333,0.0076045627376425
4,anchietaba,0.8222222222222222,0.0,0.0,0.0,0.0,0.0
5,integra,0.660741885625966,12.142857142857142,3.571428571428572,0.1456953642384106,0.7616279069767442,2.7071428571428573
6,charlesdarwin,0.6,0.0,0.0,0.0,0.0,0.0
7,acessocampolargo,0.5817176063027323,49.375,11.5,0.1442244224422442,0.5137555982085733,15.072033898305085
8,liessinbarra,0.572829131652661,51.0,5.0,0.1785714285714285,0.2857142857142857,0.4814814814814814
9,acessohauer,0.5588820265885063,16.416666666666668,4.166666666666667,0.212781954887218,0.6166710910538891,7.861581920903955
10,sas,0.5194805194805194,324.6,47.2,0.0005213764337851,0.0277777777777777,1.9230769230769231
11,physicsaugustomontenegro,0.5155065910972426,115.2,26.466666666666665,0.0351983909307003,0.1737619461337967,3.2672268907563025
12,fundacaobradesco,0.5043715846994535,0.0,0.0,0.0,0.0,1.0
13,escoladofuturo,0.5,0.0,0.0,0.0010460251046025,0.0,0.0
14,sasadaptfund,0.5,0.0,0.0,0.0,0.0,0.0
15,novoemlasalle,0.5,0.0,0.0,1.0,0.0,0.0
16,acessofazendariogrande,0.4887145609688962,53.11111111111112,13.444444444444445,0.1142327060694407,0.4460919540229885,14.48
17,einsteinassis,0.480849309420738,222.875,72.0,0.0705773100139297,0.4087193460490463,2.897196261682243
18,invictus,0.4508975712777191,21.75,3.0,0.2333333333333333,0.6482236458940012,11.943396226415096
19,ceabb,0.4206254085857485,99.28571428571428,11.428571428571429,0.0552813425468904,0.1274350649350649,2.36
20,sasadaptem,0.4125874125874126,0.0,0.0,0.0099173553719008,0.0,0.1538461538461538
21,colegiobilac,0.408169836431546,68.9,8.7,0.2655485674353599,0.2406042078762812,16.145510835913313
22,cognitivo,0.3888888888888889,0.0,0.0,0.0,0.0,0.0
23,colegionobre,0.3801169590643274,0.0,0.0,0.0010752688172043,0.0,0.0714285714285714
24,acessoalmirantetamandare,0.3609316101238556,24.416666666666668,6.333333333333333,0.1408450704225352,0.5221418234442836,9.483253588516746
25,colegiobetelbrasileirosp,0.3562110706310964,31.666666666666668,5.0,0.3284132841328413,0.7605696484201158,4.358447488584475
26,elitecuritibaemilianoperneta,0.3518796992481203,173.5,53.0,0.0799163179916318,0.4808764940239043,11.580645161290322
27,acessopinhais,0.3182521159632202,122.5,21.75,0.1091028590207032,0.4089371980676328,16.73846153846154
28,colegiouniverso,0.307674526121128,17.125,5.0,0.0260448213204118,0.5432378079436903,1.3787375415282392
29,stellamarisaguaverde,0.3053474554378713,37.5,13.0,0.0481565086531226,0.4624277456647399,2.540268456375839
30,ciadosaber,0.3002207505518763,9.5,1.5,0.1836734693877551,0.4305785123966942,1.4791666666666667
31,colegioiguatemy,0.298274964681389,102.07692307692308,10.384615384615383,0.1464096116233584,0.4407288317256163,3.228637413394919
32,escolaceciliameireles,0.2945590994371482,12.666666666666666,2.333333333333333,0.2242990654205607,0.1777777777777777,0.7974683544303798
33,beityaacov,0.2941176470588235,0.0,0.0,0.1764705882352941,0.0666666666666666,0.3703703703703703
34,calculo2,0.2736742424242424,0.0,0.0,0.25,0.0,0.925531914893617
35,overmossoro,0.2735148514851485,11.25,1.5,0.2844036697247706,0.364,6.1066666666666665
36,jazzvestibular,0.2725988700564972,118.0,10.0,0.1333333333333333,0.0,1.3333333333333333
37,idb,0.2721518987341772,0.0,0.0,0.0,0.0,0.0
38,physicsumarizal,0.2659312037466034,118.41176470588236,26.823529411764707,0.0227818898394693,0.1651031894934334,4.248366013071895
39,insa,0.2615073581268513,488.3333333333333,46.0,0.0193465176268271,0.2075471698113207,5.951456310679611
40,stellamarisxaxim,0.2614669931202696,64.0,33.285714285714285,0.0252484357747515,0.3278025091056252,9.300683371298405
41,liessin,0.2567049808429119,26.666666666666668,2.6666666666666665,0.126865671641791,0.0,0.0
42,acessosjpinhais,0.2543227838105584,68.42105263157895,19.31578947368421,0.0680809515355938,0.4271099744245524,8.727735368956743
43,colegioriobranco,0.25,0.0,0.0,0.0,0.0,0.0
